coluna,secao,tipo,escala_dominio,descricao
s3_q3_dificuldade_relaxar_freq,Seção 3 — Estado emocional,Frequência,1 a 5,Frequência de dificuldade para relaxar.
s3_q4_dormiu_mal_freq,Seção 3 — Estado emocional,Frequência,1 a 5,Frequência de sono ruim por preocupação.
s3_q5_irritado_freq,Seção 3 — Estado emocional,Frequência,1 a 5,Frequência de irritação/impaciência.
s3_q6_lidou_bem_dificuldades_freq,Seção 3 — Estado emocional,Frequência,1 a 5,Frequência de lidar bem com dificuldades.
s3_q7_apoiado_colegas_chefes_freq,Seção 3 — Estado emocional,Frequência,1 a 5,Frequência de se sentir apoiado.
s3_q8_sabe_recorrer_apoio,Seção 3 — Enfrentamento,Escala,1 a 4,Sabe a quem recorrer para apoio emocional.
s3_q9_seguro_buscar_apoio_sem_discriminacao,Seção 3 — Enfrentamento,Escala,1 a 4,Sinto-me seguro para buscar apoio de ajuda psicológica sem sofrer discriminação. (redação atualizada)
s3_q10_equilibrio_emocional_bom,Seção 3 — Enfrentamento,Escala,1 a 4,Equilíbrio emocional bom no momento.
s3_fusex_usuario,Seção 3 — FUSEx,Categórica,Sim / Não,Indica se o respondente é contribuinte/usuário do FUSEx (define se respondeu ao bloco).
s3_fusex_q11_atendimento_qualidade,Seção 3 — FUSEx,Escala (condicional),1 a 4 ou vazio,Qualidade do atendimento FUSEx. Vazio se não é usuário.
s3_fusex_q12_atende_necessidades,Seção 3 — FUSEx,Escala (condicional),1 a 4 ou vazio,O FUSEx atende bem às minhas necessidades de saúde e da minha família. (redação atualizada)
s3_fusex_q13_facilidade_uso,Seção 3 — FUSEx,Escala (condicional),1 a 4 ou vazio,Facilidade de uso do FUSEx. Vazio se não é usuário.
s3_apostas_q14_costuma_apostar,Seção 3 — Apostas,Escala,1 a 4,Costuma apostar/jogar. ATENÇÃO: item de sentido invertido (concordar = pior).
s3_apostas_q15_aumentou_freq_valor,Seção 3 — Apostas,Escala,1 a 4,Aumentou frequência/valor apostado. Invertido.
s3_apostas_q16_prejuizo_financeiro,Seção 3 — Apostas,Escala,1 a 4,Já teve prejuízo financeiro com apostas. Invertido.
s3_apostas_q17_afetou_trabalho,Seção 3 — Apostas,Escala,1 a 4,Apostas afetaram foco/rendimento/relações. Invertido.
s3_apostas_q18_quis_parar_dificuldade,Seção 3 — Apostas,Escala,1 a 4,Quis parar e teve dificuldade. Invertido.
s3_comentario,Seção 3,Texto (obrigatório),-,Comentário livre sobre bem-estar/apoio emocional.
s4_moradia,Seção 4,Categórica,5 opções,Tipo de moradia atual.
s4_deslocamento_tempo,Seção 4,Categórica,4 faixas,Tempo de deslocamento diário.
s4_q3_soldo_compativel,Seção 4,Escala,1 a 4,Soldo compatível com responsabilidades.
s4_q4_renda_suficiente,Seção 4,Escala,1 a 4,Renda suficiente para despesas do mês.
s4_q5_consegue_guardar_dinheiro,Seção 4,Escala,1 a 4,Consegue guardar dinheiro com regularidade.
s4_q6_moradia_adequada,Seção 4,Escala,1 a 4,Moradia adequada para família.
s4_q7_deslocamento_razoavel,Seção 4,Escala,1 a 4,Tempo/custo do deslocamento razoáveis.
s4_q8_seguranca_financeira_futuro,Seção 4,Escala,1 a 4,Segurança financeira para o futuro.
s4_q9_financas_nao_afetam_desempenho,Seção 4,Escala,1 a 4,"Problemas financeiros NÃO afetam desempenho (item já positivo, não é invertido)."
s4_nota_situacao_financeira,Seção 4,Nota,0 a 10,Nota geral para a situação financeira atual.
s4_nota_situacao_financeira_justificativa,Seção 4,Texto (obrigatório),-,Justificativa da nota financeira.
s4_avaliacao_geral_financeira,Seção 4,Categórica,4 opções,Autoavaliação geral da situação financeira.
s4_comentario,Seção 4,Texto (obrigatório),-,Comentário livre sobre questão financeira.
s5_q1_hierarquia_com_respeito,Seção 5 — Hierarquia,Escala,1 a 4,Hierarquia/disciplina aplicadas com respeito.
s5_q2_tratamento_igualdade,Seção 5 — Hierarquia,Escala,1 a 4,Tratado com respeito e igualdade.
s5_q3_regras_iguais_para_todos,Seção 5 — Hierarquia,Escala,1 a 4,Regras valem igual para todos.
s5_q4_info_clara_a_tempo,Seção 5 — Comunicação,Escala,1 a 4,Informações claras e a tempo.
s5_q5_avontade_falar_chefia,Seção 5 — Comunicação,Escala,1 a 4,À vontade para falar ideias/dúvidas.
s5_q6_decisoes_explicadas_clareza,Seção 5 — Comunicação,Escala,1 a 4,Decisões explicadas com clareza.
s5_q7_recebe_feedback,Seção 5 — Comunicação,Escala,1 a 4,Recebe retorno sobre desempenho.
s5_q8_reunioes_objetivas,Seção 5 — Reuniões/Formaturas,Escala,1 a 4,As reuniões das quais participo são objetivas? (redação atualizada)
s5_q9_tempo_reunioes_formaturas_ok,Seção 5 — Reuniões/Formaturas,Escala,1 a 4,Tempo de reuniões/formaturas não atrapalha tarefas.
s5_q10_planejamento_com_antecedencia,Seção 5 — Escalas,Escala,1 a 4,Atividades planejadas com antecedência.
s5_q11_escalas_justas,Seção 5 — Escalas,Escala,1 a 4,Escalas divididas de forma justa.
s5_q12_avisado_mudancas_antecedencia,Seção 5 — Escalas,Escala,1 a 4,Avisado com antecedência de mudanças.
s5_q13_rotina_previsivel,Seção 5 — Escalas,Escala,1 a 4,Rotina previsível o suficiente.
s5_sugestao_texto,Seção 5,Texto (obrigatório),-,Sugestão para melhorar a comunicação interna.
s6_nota_clima_geral,Seção 6,Nota,0 a 10,Nota geral de fechamento para o clima da OM.
s6_nota_clima_geral_justificativa,Seção 6,Texto (obrigatório),-,Justificativa da nota geral de clima.
